star_date,name,url,repo
2020-04-25T18:26:17Z,linuxkit,https://github.com/linuxkit/linuxkit,linuxkit/linuxkit
2020-04-20T22:33:35Z,changesets,https://github.com/atlassian/changesets,atlassian/changesets
2020-04-18T04:43:16Z,aws-sdk-java,https://github.com/aws/aws-sdk-java,aws/aws-sdk-java
2020-04-18T04:41:35Z,awesome-java,https://github.com/akullpp/awesome-java,akullpp/awesome-java
2020-04-09T17:28:10Z,kubectl-plugins,https://github.com/jordanwilson230/kubectl-plugins,jordanwilson230/kubectl-plugins
2020-04-09T04:14:25Z,jupyter_conda,https://github.com/fcollonval/jupyter_conda,fcollonval/jupyter_conda
2020-04-08T03:34:25Z,jupyterlab-gitplus,https://github.com/ReviewNB/jupyterlab-gitplus,ReviewNB/jupyterlab-gitplus
2020-04-07T23:45:48Z,demo-magic,https://github.com/paxtonhare/demo-magic,paxtonhare/demo-magic
2020-04-04T20:39:42Z,reverse-interview,https://github.com/viraptor/reverse-interview,viraptor/reverse-interview
2020-04-04T01:59:44Z,pyparsing,https://github.com/pyparsing/pyparsing,pyparsing/pyparsing
2020-04-03T03:33:32Z,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,jlevy/the-art-of-command-line
2020-04-03T03:21:21Z,awesome-jupyter,https://github.com/markusschanta/awesome-jupyter,markusschanta/awesome-jupyter
2020-04-03T03:19:31Z,papermill,https://github.com/nteract/papermill,nteract/papermill
2020-04-03T03:19:13Z,machine-learning-mindmap,https://github.com/dformoso/machine-learning-mindmap,dformoso/machine-learning-mindmap
2020-04-02T23:33:37Z,dockerfile-language-server-nodejs,https://github.com/rcjsuen/dockerfile-language-server-nodejs,rcjsuen/dockerfile-language-server-nodejs
2020-04-02T05:39:08Z,k8s-device-plugin,https://github.com/NVIDIA/k8s-device-plugin,NVIDIA/k8s-device-plugin
2020-04-01T19:49:32Z,every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,mtdvio/every-programmer-should-know
2020-03-27T19:12:32Z,q,https://github.com/harelba/q,harelba/q
2020-03-23T04:15:14Z,awesome-production-machine-learning,https://github.com/EthicalML/awesome-production-machine-learning,EthicalML/awesome-production-machine-learning
2020-03-23T04:13:11Z,Production-Level-Deep-Learning,https://github.com/alirezadir/Production-Level-Deep-Learning,alirezadir/Production-Level-Deep-Learning
2020-03-23T00:56:34Z,vscode-debug-visualizer,https://github.com/hediet/vscode-debug-visualizer,hediet/vscode-debug-visualizer
2020-03-15T21:59:30Z,gh-ost,https://github.com/github/gh-ost,github/gh-ost
2020-03-15T17:42:33Z,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,ryanmcdermott/clean-code-javascript
2020-03-15T06:39:16Z,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,goldbergyoni/javascript-testing-best-practices
2020-03-15T05:47:00Z,moleculer,https://github.com/moleculerjs/moleculer,moleculerjs/moleculer
2020-03-15T05:33:52Z,java-microservice,https://github.com/apssouza22/java-microservice,apssouza22/java-microservice
2020-03-13T05:24:26Z,awesome-code-review,https://github.com/joho/awesome-code-review,joho/awesome-code-review
